"1,000 Venture Capital Firms",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,VC Firm,Website,Countries,Cities,Industries,Stages,Founded Year,Name of Founders,# of Investments,# of Exits,Min Check Size,Max Check Size,Funds Raised,Contact Information
,JME Capital,https://www.jme.vc/,Spain,Madrid,"Fintech, Human Resources, Transportation, Productivity, Automation, Crypto & Blockchain, Supply Chain & Logistics","Early Stage, Seed, Series A",2009,Javier Alarcó,89,20,,,"$115,300,000",backme@jme.vc
,JMI Equity,https://www.jmi.com/,USA,"Baltimore, San Diego, Washington","Cloud, Education, Proptech & Real Estate, Healthcare, Energy, InsurTech, Legal, Government Technology, Infrastructure, Marketing, Fintech, Non-Profit, Sales","Series A, Series B, Series C",1992,"Charles Noell, Harry Gruner",163,68,"$15,000,000","$125,000,000","$4,800,000,000",lcontrella@jmi.com
,Johnson Venture Partners,http://www.jvpfund.com/,USA,Atlanta,"Consumer, Life Sciences, Healthcare, Food & Beverage, Media, SaaS, AI & ML, Manufacturing","Seed, Early Stage",2006,Matt Johnson,34,5,"$50,000","$500,000","$500,000",info@jvpfund.com
,Jump Capital,https://jumpcap.com,USA,"Chicago, New York","SaaS, Fintech, Media, Internet & Mobile, Enterprise","Series A, Series B",2012,Sach Chitnis,223,35,"$1,000,000","$10,000,000","$350,000,000",info@jumpcap.com
,Jungle Ventures,https://jungle.vc,Singapore,Singapore,"Consumer, Fintech, Cloud, E-Commerce, InsurTech, Big Data & Analytics","Early Stage, Late Stage, Seed, Series A, Series B",2012,"Amit Anand, Anurag Srivastava",46,9,"$500,000","$20,000,000","$1,200,000,000",info@jungle-ventures.com
,K2 Venture Capital,https://k2-vc.com/,Thailand,Bangkok,"Fintech, InsurTech, Big Data & Analytics, AI & ML, IoT, Crypto & Blockchain",Early Stage,2017,Stanley Wang,5,2,,,"$20,000,000",info@k2-vc.com
,Kalaari Capital,https://kalaari.com,India,Bangalore,"Climate & Sustainability, Consumer, Creator Economy, Crypto & Blockchain, E-Commerce, Education, Fintech, Food & Beverage, Transportation, Healthcare, Social, Travel & Hospitality, Deep Tech & Hard Science, SaaS, Supply Chain & Logistics, Sports","Seed, Series A",2006,"Vani Kola, Rajesh Raju",194,45,"$500,000","$5,000,000","$600,000,000",+91 80-6715-9600
,Kalon Venture Partners,https://kalonvp.com,South Africa,Johannesburg,"Transportation, AR & VR, AI & ML, SaaS, Productivity, Marketing",Growth,2016,Clive Butkow,19,1,,,"$17,500,000",info@kalonvp.com
,Kama Flow,https://kamaflow.com,Russia,"Moscow, Novosibirsk","Big Data & Analytics, Industrial, Climate & Sustainability, Internet & Mobile","Early Stage, Pre-Seed, Seed",2013,Eduard Adamyan,14,1,,,"$3,500,000,000",info@kamaflow.com
,Kamet Ventures,https://kametventures.com,"France, United Kingdom, Israel","Tel Aviv-Yafo, Paris, London","InsurTech, Healthcare, Health & Wellness, Transportation",Early Stage,2016,"Stéphane Guinet, Nicolas Bosc, Michael Niddam",37,4,,,"$11,500,000",
,Kapor Capital,https://kaporcapital.com,USA,Oakland,"Education, Food & Beverage, Health & Wellness, Media, Climate & Sustainability, Energy, Fintech","Seed, Pre-Seed, Series A, Early Stage, Late Stage",1999,"Freada Kapor Klein, Mitchell Kapor",245,51,"$100,000","$250,000","$125,000,000",info@kaporcapital.com
,Karlin Ventures,http://karlinvc.com/,USA,Los Angeles,"Enterprise, SaaS, Marketplace",Early Stage,2012,Tx Zhuo,57,27,"$250,000","$2,000,000","$76,000,000",info@karlinvc.com
,Karma VC,https://karma.vc,Estonia,Tallinn,Deep Tech & Hard Science,"Seed, Series A, Early Stage",2016,"Margus Uudam, Tommi Uhari, Kristijan Laanemaa",18,4,,"€5,000,000","€170,000,000",good@karma.vc
,Kaszek Ventures,https://kaszek.com/,"Argentina, Mexico, Uruguay, Brazil","Buenos Aires, Mexico City, Montevideo, São Paulo","Biotech, Media, DTC, E-Commerce, Marketplace, Fintech, Healthcare, Travel & Hospitality, InsurTech, Supply Chain & Logistics, Proptech & Real Estate, SaaS, Enterprise, Transportation, Food & Beverage, Advertising","Seed, Series A, Series B, Series C",2011,"Hernan Kazah, Nicolas Szekasy",195,21,"$500,000","$5,000,000","$2,000,000,000",info@kaszek.com
,Kaya Ventures,https://www.kaya.vc/,Czechia,Prague,"E-Commerce, Consumer, Fintech, Future of Work, Healthcare, SaaS, Climate & Sustainability, Mobility, Agriculture","Pre-Seed, Seed, Series A",2010,Madeline Darcy,34,3,"€5,000,000","€10,000,000","€500,000,000",info@kaya.vc
,Kernel Capital,https://kernel-capital.com,Ireland,"Belfast, Cork","AI & ML, Biotech, Healthcare, Cybersecurity, Education, SaaS","Early Stage, Seed",1999,Niall Olden,76,14,"€500,000","€2,000,000","€158,000,000",+353 (0)21 4928974
,Kharis Capital,https://khariscapital.com/,"Switzerland, Belgium, Luxembourg","Brussels, Hong Kong, Luxembourg, Zug",Consumer,Early Stage,2015,Daniel Grossmann,29,2,,,"€90,000,000",info@khariscapital.com
,Khosla Ventures,https://khoslaventures.com,USA,"San Mateo, San Francisco","Consumer, Enterprise, Education, Health & Wellness, Food & Beverage, Robotics, Advertising, Agriculture, Fintech","Seed, Early Stage, Late Stage",2004,Vinod Khosla,1158,287,,,"$15,000,000,000",kv@khoslaventures.com
,Kibo,https://kiboventures.com/,"Spain, Portugal","Madrid, Lisbon, Barcelona","Social, API, Fintech, Travel & Hospitality, Transportation, SaaS, Cloud, AI & ML, Big Data & Analytics, E-Commerce, Consumer, Enterprise, Proptech & Real Estate, Marketplace","Seed, Series A",2012,"Aquilino Peña, Javier Torremocha, José María Amusátegui",63,20,"€2,000,000","€5,000,000","€1,500,000,000",hello@kiboventures.com
,Kima Ventures,https://kimaventures.com,France,Paris,"Internet & Mobile, Productivity, Entertainment, Fintech","Early Stage, Seed, Series A",2010,"Jeremie Berrebi, Xavier Niel",832,89,"€150,000",,,join@kimaventures.com
,Kindred Capital,https://kindredcapital.vc,United Kingdom,London,"SaaS, Hardware, Marketplace, Deep Tech & Hard Science, Enterprise, Consumer","Seed, Pre-Seed",2015,"Leila Zegna, Mark Evans, Russell Buckley",68,4,"£500,000","£1,500,000","£195,893,530",hello@kindredcapital.vc
,Kinetic Ventures,https://kineticventures.com,USA,"Atlanta, Washington, Chevy Chase","Enterprise, Transportation, SaaS, Climate & Sustainability","Early Stage, Late Stage, Seed",1985,Carol Deslandes,65,18,"$1,000,000","$5,000,000","$150,000,000",kinetic@kineticventures.com
,Kingson Capital,https://kingsoncapital.com,"South Africa, USA","Johannesburg, San Francisco, Durban","AI & ML, Big Data & Analytics, Healthcare, Consumer, SaaS, Crypto & Blockchain, Climate & Sustainability",Early Stage,2016,Gavin Reardon,8,3,,,,gavin@kingsoncapital.com
,KK Fund,https://www.kkfund.co/,"Singapore, South Korea, Vietnam","Ho Chi Minh City, Seoul, Singapore","Internet & Mobile, Crypto & Blockchain, IoT, Entertainment, Fintech, Education, Human Resources, Mobility, Healthcare, Proptech & Real Estate",Seed,2015,Koichi Saito,37,3,"$400,000","$500,000","$20,000,000",info@kkfund.co
,Kleiner Perkins,https://kleinerperkins.com,"USA, China","Shanghai, San Francisco","Consumer, Fintech, Enterprise, Deep Tech & Hard Science, Healthcare, Internet & Mobile, Life Sciences, SaaS, Cybersecurity, Manufacturing, Infrastructure","Seed, Pre-Seed, Early Stage, Late Stage, Series A",1972,"Brook Byers, Eugene Kleiner, Frank Caufield, Tom Perkins",1354,318,"$500,000","$15,000,000","$9,200,000,000",plans@kpcb.com
,Knife Capital,https://knifecap.com,"South Africa, United Kingdom","London, Cape Town","Cloud, AI & ML, Education, IoT, SaaS, Food & Beverage","Late Stage, Growth",2010,Andrea Bohmert,41,12,,,"£50,000,000",info@knifecap.com
,Knoll Ventures,https://knollventures.com,USA,Atlanta,"Enterprise, SaaS","Pre-Seed, Seed, Early Stage, Growth",2018,"Andrew Dorman, David Dorman, Richard Fraim",49,12,"$500,000","$3,000,000","$51,800,000",info@knollventures.com
,Kogito Ventures,https://kogito-ventures.com,Poland,Warsaw,"E-Commerce, Fintech, Marketplace, Enterprise, SaaS, Industrial","Pre-Seed, Seed, Series A",2016,Łukasz Obuchowicz,29,3,"€500,000","€2,000,000","€30,000,000",biuro@kogito-ventures.com
,Koopeo Ventures,https://www.koopeoventures.com/en/home-english/,"Czechia, Slovakia","Prague, Brno, Bratislava","Fintech, E-Commerce, Internet & Mobile","Early Stage, Seed, Pre-Seed",2016,"Petr Špaček, Libor Daněk, Vladimír Šťastný",14,6,"$2,000","$625,000","$41,500,000",info@koopeoventures.com
,Korea Investment Partners,http://partners.koreainvestment.com/,"South Korea, China, USA, Singapore","Sunnyvale, Seoul, Singapore, Shanghai, Beijing, Chengdu, Guangzhou","Biotech, Healthcare, Entertainment, Media, Gaming, Consumer, Internet & Mobile, Fintech, Marketplace, IoT, AI & ML, Automation, Industrial, Hardware","Series A, Series B, Series C",1986,"Mahn Soon, Dong Yeob",354,5,"$2,000,000","$5,000,000",,
,KPTL,https://kptl.com.br/?lang=en,Brazil,"São Paulo, Belo Horizonte","Media, Healthcare, Government Technology, Crypto & Blockchain, DTC, Energy, Agriculture, Fintech",Early Stage,2020,"Bruno Profeta, Christiane Bechara, Eduardo Sperling, Gustavo Junqueira, Paulo Tomazela, Renato Ramalho, Rogerio Carvalho Neto",112,21,,,,
,Kraken Ventures,https://krakenventures.com,"USA, Canada, United Kingdom, Israel, United Arab Emirates",San Francisco,"Fintech, Crypto & Blockchain, SaaS, Cybersecurity, Developer Tools, Big Data & Analytics, AI & ML, Enterprise","Series A, Seed",2021,Brandon Gath,22,,"$500,000","$2,000,000","$65,000,000",info@krakenventures.com
,Kurma Partners,https://kurmapartners.com,France,Paris,"Biotech, Life Sciences, Healthcare","Early Stage, Seed, Late Stage",2009,Thierry Laugel,91,10,"€10,000,000",,"€534,000,000",contact@kurmapartners.com
,Kusto Vietnam,https://kusto.com.vn/en/,Vietnam,Ho Chi Minh City,"Construction, Supply Chain & Logistics, Proptech & Real Estate, Social","Growth, Late Stage",2005,Yerkin Tatishev,,,,,"$50,000,000",contact@kusto.com.vn
,Laconia Capital Group,https://laconiacapitalgroup.com,"USA, Canada","New York, Philadelphia, Boston","Enterprise, SaaS","Early Stage, Seed",2014,"Jeffrey Silverman, Geri Kirilova, David Arcara",37,9,"$500,000","$1,000,000","$5,000,000",info@laconiacapitalgroup.com.
,Lair East Labs,https://laireastlabs.com,USA,New York,"Enterprise, Deep Tech & Hard Science, Hardware, Consumer, Entertainment, Health & Wellness, Food & Beverage, Education, Transportation, Marketing","Early Stage, Seed, Pre-Seed",2017,"Lee Lin, Michelle Wang, Seamon Chan, Yipeng Li",31,2,"$75,000","$150,000","$35,000,000",info@laireastlabs.com
,Lakestar,https://lakestar.com,Switzerland,Zürich,"Fintech, Healthcare, Infrastructure, Industrial, Deep Tech & Hard Science, Gaming, Media, Climate & Sustainability","Seed, Growth, Early Stage",2012,Mika Salmi,177,37,,,"$735,000,000",
,Lanta Digital Ventures,https://lantacapital.com,Spain,Barcelona,"Internet & Mobile, Advertising, E-Commerce, Gaming, Media, Social, Healthcare, Big Data & Analytics","Seed, Early Stage",2013,Ángel García,9,4,,,"$1,200,000",investors@lantacapital.com
,Lavrock Ventures,https://lavrockvc.com,USA,McLean,"Government Technology, Deep Tech & Hard Science, Big Data & Analytics, Enterprise, SaaS",Series A,2015,"Daniel Hanks, Jim Hunt, Steve Smoot",19,3,"$2,000,000","$4,000,000","$45,000,000",info@lavrockvc.com
,LB Ventures,http://lbinvestment.com/,"South Korea, China","Seoul, Shanghai","Hardware, Healthcare, Consumer, Entertainment, Gaming, Manufacturing","Seed, Early Stage, Growth",1996,Ki-Ho Park,231,83,"$1,000,000","$50,000,000","$700,000,000",lbadmin@lbinvestment.com
,LDV Capital,https://www.ldv.co/,USA,New York,"Deep Tech & Hard Science, AI & ML, Big Data & Analytics, Robotics, Automative, Healthcare, Manufacturing, Supply Chain & Logistics, AR & VR","Pre-Seed, Seed",2012,Evan Nisselson,31,8,"$500,000","$1,200,000",,
,Leaders Fund,https://leaders.vc,Canada,"Toronto, Alpharetta","SaaS, Cloud, Cybersecurity, Enterprise, Supply Chain & Logistics, AI & ML","Seed, Early Stage, Series A, Series B",2016,"David Stein, Steve Debacco, Gideon Hayden",34,9,,,"$100,000,000",
,Lean FUND,http://www.leanfund.com/,Belgium,Louvain,"Productivity, SaaS, Supply Chain & Logistics, Climate & Sustainability, Sports","Early Stage, Seed, Pre-Seed",2013,"Benoit Lips, Jean Dessain, Toon Vanagt",12,1,"€25,000","€100,000","€33,000,000",contact@leanfund.com
,Learn Capital,https://www.learn.vc/,USA,San Mateo,"Health & Wellness, Education, Fintech",,2008,Evan Baehr,182,54,,,"$50,000,000",
,Left Lane Capital,https://leftlanecap.com,USA,Brooklyn,"Fintech, Marketplace, Education, Food & Beverage, E-Commerce, SaaS, Healthcare, Gaming, Entertainment, Supply Chain & Logistics, Crypto & Blockchain, IoT","Early Stage, Late Stage",2019,Dan Ahrens,55,3,,,"$2,000,000,000",info@leftlanecap.com
,Lehrmann Ventures,https://lehrmannventures.com/,Denmark,Copenhagen,"E-Commerce, SaaS, Marketplace, Other","Early Stage, Seed",2019,Jan Dal Lehrmann,35,12,"$100,000","$5,000,000",,
,Lemnos,https://lemnos.vc/,USA,San Francisco,"Transportation, Travel & Hospitality, AI & ML, Automation, Hardware, Aerospace & Space, Supply Chain & Logistics, Food & Beverage, Robotics, Manufacturing, Energy, Construction, Agriculture","Pre-Seed, Seed, Early Stage",2011,"Helen Zelman Boniske, Jeremy Conrad",73,25,"$250,000","$500,000","$71,900,000",info@lemnoslabs.com
,Lerer Hippeau,https://lererhippeau.com,USA,New York,"Big Data & Analytics, Cybersecurity, E-Commerce, Education, Health & Wellness, Crypto & Blockchain, Fintech, Food & Beverage, Future of Work, Productivity, Hardware, Robotics, Healthcare, Marketing, Media, Entertainment, Proptech & Real Estate, Supply Chain & Logistics","Early Stage, Late Stage, Pre-Seed, Seed, Series A, Series B",2010,"Kenneth Lerer, Ben Lerer, Eric Hippeau",657,245,,,"$667,800,000",contact@lererhippeau.com
,Leta Capital,https://leta.vc,United Kingdom,George Town,"Enterprise, Automation, SaaS, AR & VR, Big Data & Analytics","Series A, Series B, Early Stage, Seed",2012,Alex Chachava,40,6,"£2,000,000","£5,000,000","£165,000,000",info@leta.vc
,Level2 Ventures,https://level2.vc/,Netherlands,Amsterdam,"AI & ML, Automation, Climate & Sustainability, SaaS, Marketplace, Enterprise","Pre-Seed, Seed, Series A",2021,"Piotr Pawłowski, Adam Rudowski",11,,"€250,000","€1,500,000","€2,200,000",pitch@level2.vc
,Lifeline Ventures,https://lifelineventures.com,Finland,Helsinki,"Climate & Sustainability, Consumer, Gaming, Hardware, Healthcare, Fintech, SaaS","Early Stage, Seed, Late Stage",2009,Timo Ahopelto,95,29,,"€7,000,000","€207,100,000",info@lifelineventures.com
,Lightbank,https://lightbank.com,USA,Chicago,"Consumer, Enterprise, Biotech, Healthcare, Crypto & Blockchain, Fintech, Marketplace","Seed, Series A, Series B, Series C",2010,Eric Lefkofsky,192,88,"$1,000,000","$3,000,000","$180,000,000",info@lightbank.com
,Lighthouse Ventures,https://lhv.vc,Czechia,Prague,"Fintech, AI & ML, E-Commerce, SaaS, Marketplace, InsurTech","Early Stage, Seed",2019,Michal Zalesak,33,1,"€200,000","€2,300,000","€24,000,000",contact@lhv.vc
,Lightrock India,https://lr-india.com,"India, United Kingdom","Bangalore, London","Healthcare, Future of Work, Education, Transportation, Food & Beverage, Climate & Sustainability, Big Data & Analytics, Infrastructure, Agriculture","Late Stage, Growth",2011,"Kartik Srivatsa, Thomas Hyland",48,6,"$10,000,000","$50,000,000",,contact.india@lightrock.com
,Lightspeed Venture Partners,https://lsvp.com,"USA, Israel","Tel Aviv-Yafo, San Francisco","Consumer, Enterprise, Health & Wellness, Crypto & Blockchain, Fintech, DTC, Education, Media, Social, SaaS, Big Data & Analytics, Biotech, Infrastructure","Early Stage, Seed",2000,"Barry Eggers, Christopher Schaepe, Peter Nieh, Ravi Mhatre",1169,207,"$1,000,000","$50,000,000","$18,900,000,000",info@lsvp.com
,Lightstone Ventures,https://lightstonevc.com,"USA, Ireland, Singapore","Boston, Dublin, Singapore, San Francisco","Healthcare, Biotech, Life Sciences","Early Stage, Late Stage, Seed",2012,Christopher M. Owens,105,40,,,"$375,000,000",+1 (650)-388-3676
,Lombardstreet Ventures,https://lombardstreet.io,USA,"San Mateo, San Francisco","Crypto & Blockchain, Fintech, SaaS, Marketplace","Pre-Seed, Early Stage, Seed",2016,"Luigi Bajetti, Massimo Sgrelli",58,7,,,,hello@lombardstreet.io
,Lool Ventures,https://lool.vc,Israel,Tel Aviv-Yafo,"SaaS, AI & ML","Early Stage, Seed",2011,"Avichay Nissenbaum, Yaniv Golan",24,7,"$5,000,000","$10,000,000","$100,000,000",info@lool.vc
,LRM,https://www.lrm.be/en,Belgium,Hasselt,"Climate & Sustainability, Internet & Mobile, Enterprise, Proptech & Real Estate, Energy",Seed,1994,,136,17,,,"€10,000,000",info@lrm.be
,LT Capital,https://ltcapital.vc,Poland,"Kraków, Warsaw","AI & ML, Cybersecurity, Robotics, AR & VR, Biotech, SaaS, Marketplace, IoT","Seed, Series A",2017,Łukasz Świercz,26,1,,"€250,000","€60,000,000",contact@ltcapital.vc
,Luminar Ventures,https://luminarventures.com,"Sweden, Norway, Germany, Vietnam","Stockholm, Asker, Hanoi, Munich","Human Resources, Fintech, Gaming, Enterprise, AI & ML, Automation, API, InsurTech","Pre-Seed, Seed, Series A",2012,Martin Henricson,58,4,,,"€132,700,000",info@luminarventures.com
,Lumira Ventures,https://lumiraventures.com,"Canada, USA","Toronto, Montréal, Vancouver, Boston","Biotech, Healthcare","Late Stage, Early Stage",1989,Peter Van Der Velden,83,19,"$500,000","$1,000,000","$764,500,000",+1 (416) 213 4223
,Lunar Ventures,https://lunar.vc,Germany,Berlin,"AI & ML, Cybersecurity, Crypto & Blockchain, Big Data & Analytics, Health & Wellness","Early Stage, Seed",2017,"Mick Halsband, Dr. Elad Verbin, Luis Shemtov",18,,"€300,000","€1,000,000","€40,000,000",hello@lunarventures.eu
,Lundbeckfondon,https://lundbeckfonden.com/en,Denmark,Copenhagen,Life Sciences,Early Stage,1954,Grete Lundbeck,4,,,"DKK1,300,000","DKK75,000,000",application@lundbeckfonden.com
,Lux Capital,https://luxcapital.com,USA,New York,"Deep Tech & Hard Science, Robotics, Manufacturing, AI & ML, Biotech, Infrastructure, Energy, Fintech, Hardware, AR & VR, Transportation, Crypto & Blockchain, Aerospace & Space","Seed, Early Stage",2000,Peter Hébert,437,66,"$100,000",,"$1,500,000,000",info@luxcapital.com
,LVenture Group,https://lventuregroup.com,Italy,Rome,"Big Data & Analytics, Education, Developer Tools, Entertainment, Travel & Hospitality, IoT, Fintech, Food & Beverage, Healthcare",Early Stage,2012,Luigi Capello,91,11,"€200,000","€250,000",,info@lventuregroup.com
,M13,https://m13.co/,USA,"Santa Monica, New York","Consumer, Education, Fintech, Food & Beverage, Healthcare, SaaS, Media, DTC, Crypto & Blockchain, Future of Work, Proptech & Real Estate, Supply Chain & Logistics, Transportation","Seed, Early Stage, Series A",2016,Carter Reum,196,52,"$4,000,000","$7,000,000","$684,500,000",team@m13.co
,M25,https://m25vc.com/,USA,Chicago,"Big Data & Analytics, IoT, Consumer, E-Commerce, Education, Legal, Enterprise, Entertainment, Media, Sports, Fintech, Food & Beverage, Healthcare, Hardware, Marketing, Proptech & Real Estate, Transportation, Supply Chain & Logistics","Pre-Seed, Seed",2015,Mike Asem,131,19,"$500,000","$3,000,000","$32,000,000",
,Maccabee Ventures,https://maccabee.vc,USA,New York,"Enterprise, Fintech, Cybersecurity, AI & ML, AR & VR, SaaS, Healthcare, Proptech & Real Estate","Pre-Seed, Seed",2019,"Bruce Taragin, Moshe Bellows",20,,"$50,000","$150,000",,mbellows@maccabee.vc
,Macdoch Ventures,https://macdochventures.com/,Australia,Sydney,"SaaS, Transportation, Supply Chain & Logistics, Media, Marketplace, Internet & Mobile","Pre-Seed, Seed",2011,Michael Robinson,38,12,"$500,000","$750,000","$4,000,000",
,Magma Partners,https://magmapartners.com,"USA, Mexico, Colombia","Santa Monica, Guadalajara, San Andrés","Consumer, Cybersecurity, DTC, Fintech, Health & Wellness, InsurTech, Supply Chain & Logistics, Marketplace, Media, Proptech & Real Estate, SaaS, Education, Social, Food & Beverage","Pre-Seed, Seed, Series A",2014,"Diego Philippi, Francisco Sáenz Rica, Nathan Lustig",99,3,"$25,000","$5,000,000","$67,500,000",info@magmapartners.com
,Magma Venture Partners,https://www.magmavc.com/,Israel,Tel Aviv-Yafo,"Cloud, Cybersecurity, Big Data & Analytics, SaaS, Media",Early Stage,1999,Yahal Zilka,48,18,"$50,000","$7,000,000","$274,000,000",info@magmavc.com
,Maki.vc,https://maki.vc,Finland,Helsinki,"Deep Tech & Hard Science, DTC, Biotech, E-Commerce","Pre-Seed, Seed, Series A",2018,"Ilkka Kivimaki, Pirkka Palomaki",53,1,"€200,000","€2,000,000","€180,000,000",lets@maki.vc
,ManchesterStory Group,https://manchesterstory.com/,USA,West Des Moines,"Healthcare, Fintech, InsurTech",Early Stage,2016,"David Miles, Matt Kinley",34,3,,,"$80,700,000",info@manchesterstory.com
,Maniv Mobility,https://maniv.com,"Israel, USA","Tel Aviv-Yafo, New York","Supply Chain & Logistics, Robotics, Transportation, Automative, Mobility","Early Stage, Seed",2015,Michael Granoff,37,2,,,,info@maniv.com
,Manutara Ventures,https://manutaraventures.com,Chile,Las Condes,"Biotech, Fintech, SaaS",Early Stage,2016,"Cristian Olea Simunovic, Ricardo Donoso",13,1,"$200,000","$1,000,000","$10,000,000",info@manutaravc.com
,Market One Capital,https://moc.vc,"Luxembourg, Poland, Spain","Warsaw, Barcelona","SaaS, Marketplace, Marketing, Big Data & Analytics, Cloud, Fintech",Seed,2017,Marcin Zabielski,57,19,"€200,000","€1,500,000","€45,000,000",marketing@moc.vc
,Martlet Capital,https://martletcap.com,United Kingdom,Cambridge,"Deep Tech & Hard Science, Life Sciences, Enterprise","Early Stage, Seed, Pre-Seed",2011,Paul Bailey,65,7,"£250,000",,"£3,500,000",contactus@martletcap.com
,Maslin Capital,https://maslincapital.com,Bangladesh,Dhaka,"Social, Internet & Mobile, Education, Healthcare, Climate & Sustainability, Agriculture",Early Stage,2016,Wali Ul Maroof Matin,,,,"৳1,000,000","৳100,000,000",info@maslincapital.com
,MassChallenge,https://masschallenge.org,"USA, Israel, Mexico, Switzerland, South Korea, Australia, China, Colombia, France, Poland, Ireland, Taiwan, Thailand, United Kingdom, Spain, Russia, Morocco","Boston, Texas City","Fintech, Healthcare, Cybersecurity, Climate & Sustainability",Early Stage,2010,"John Harthorne, Akhil Nigam",2103,562,,"$2,000,000","$8,600,000,000",info@masschallenge.org
,Matchstick Ventures,https://www.matchstick.vc/,USA,Minneapolis,"API, Marketplace, Crypto & Blockchain, Supply Chain & Logistics, Fintech, Proptech & Real Estate, SaaS","Pre-Seed, Seed",2015,"Ryan Broshar, Natty Zola",56,,"$500,000","$1,500,000","$90,000,000",ryan@matchstickventures.com
,Material Impact,https://materialimpact.com,USA,Boston,"Climate & Sustainability, Food & Beverage, Robotics, AI & ML, AR & VR, Healthcare, Transportation",Early Stage,2015,"Adam Sharkawy, Carmichael Roberts",33,3,,,"$325,000,000",info@materialimpact.com
,Math Venture Partners,https://mathventurepartners.com,USA,Chicago,"SaaS, Big Data & Analytics, Marketplace, E-Commerce","Early Stage, Seed",2014,Mark Achler,86,17,"$100,000","$2,000,000","$74,000,000",
,Matrix Partners,https://matrixpartners.in,"India, USA, China","Bangalore, Delhi, Mumbai, San Francisco, Boston, Palo Alto, Beijing, Shanghai","Healthcare, Fintech, Enterprise, SaaS, E-Commerce, Media, Social, Gaming, Travel & Hospitality, Transportation, Education","Seed, Series A, Series B",1977,Paul J. Ferri,626,145,"$100,000","$10,000,000","$2,600,000,000",info@matrixpartners.in
,Matrix Partners China,https://www.matrixpartners.com.cn/en,China,"Shanghai, Beijing","SaaS, Deep Tech & Hard Science, Healthcare, Consumer, DTC, Enterprise","Early Stage, Series A",1977,"Bo Shao, David Su, David Zhang, Yee Lee",661,44,"$1,000,000","$10,000,000","$1,700,000,000",info@matrixpartners.com.cn
,Maven Ventures,https://mavenventures.com,USA,Palo Alto,"Crypto & Blockchain, Healthcare, Climate & Sustainability, Future of Work","Early Stage, Seed",2013,Jim Scheinman,84,13,"$750,000","$1,000,000","$70,000,000",hello@mavenventures.com
,Maveron,https://www.maveron.com/,USA,Seattle,"Consumer, Food & Beverage, Fintech, Transportation, Marketplace","Early Stage, Seed",1998,Dan Levitan,383,140,"$100,000","$8,000,000","$225,000,000",maveron@maveron.com
,Mayfield Fund,https://www.mayfield.com/,"USA, India","Mumbai, San Francisco","Enterprise, Consumer, Internet & Mobile, SaaS, Cloud, Crypto & Blockchain, Semiconductors","Seed, Series A",1969,"Thomas J. Davis, Wally Davis",625,183,"$500,000","$12,000,000","$2,600,000,000",info@mayfield.com
,Mekong Capital,https://mekongcapital.com,Vietnam,"Hanoi, Ho Chi Minh City","Food & Beverage, Consumer, Education, Supply Chain & Logistics, Healthcare, Proptech & Real Estate, Biotech",Growth,2001,Christopher Freund,48,37,,,"$490,800,000",info@mekongcapital.com
,Menlo Ventures,https://menlovc.com,USA,San Francisco,"Consumer, Enterprise, Healthcare, Internet & Mobile, Marketplace, Cloud, SaaS, Fintech, Life Sciences, Productivity","Seed, Early Stage, Late Stage, Series A",1976,"Chaz Pratt, Henry Dubose Montgomery",725,168,"$250,000","$20,000,000","$3,700,000,000",investors@menlovc.com
,Mercury Fund,https://mercuryfund.com,USA,"Idah, Austin, Ann Arbor","SaaS, Enterprise, Marketplace, Supply Chain & Logistics, Fintech, Crypto & Blockchain, Manufacturing, Energy","Early Stage, Seed, Series A",2013,"Aziz Gilani, Blair Garrou, Dan Watkins",209,22,"$250,000","$4,000,000","$200,000,000",info@mercuryfund.com
,Meritech Capital Partners,https://meritechcapital.com,USA,"Palo Alto, San Francisco, New York","Consumer, Enterprise, Fintech, Healthcare, Big Data & Analytics, SaaS","Late Stage, Series A, Series B, Series C",1999,"Mike Gordon, Paul Madera, Rob Ward",314,125,"$10,000,000","$25,000,000","$2,800,000,000",info@meritechcapital.com
,Metaplanet,https://metaplanet.com/,Estonia,Tallinn,"AI & ML, Biotech, Crypto & Blockchain, Healthcare, Robotics, Aerospace & Space, Transportation","Seed, Series A, Early Stage",2011,Jaan Tallinn,153,8,,,,
,Metavallon,https://metavallon.vc,Greece,Athens,"Big Data & Analytics, Healthcare, Fintech, Internet & Mobile","Early Stage, Pre-Seed, Seed",2018,Alexandra Choli,29,1,"€200,000","€1,000,000","€32,000,000",contactus@metavallon.vc
,MGH7 Venture Capital,https://mgh7.com,Italy,Milan,"SaaS, Media, Travel & Hospitality, Food & Beverage, Consumer, Entertainment",Seed,2015,"Francesco Mantegazzini, Andrea Mantegazzini",10,3,,,,fmantegazzini@mgh7.com
,MGV Capital Group,https://mgvcapital.com/,USA,San Antonio,"Fintech, Consumer, Internet & Mobile, Enterprise, SaaS",Early Stage,2020,Mariano Gonzalez,25,0,"$50,000","$500,000","$5,000,000",info@mgvcapitalgroup.com
,MH Carnegie,https://mhcarnegie.com,Australia,Moore Park,"Healthcare, Consumer, Proptech & Real Estate, Hardware & Industrials","Seed, Series A, Series B",2010,Mark Carnegie,9,1,,,"AU$200,000,000",enquiries@mhcarnegie.com
