Accelerator / Incubator,Website,Country,City,Industries,Founders,Founded Date,Number of Investments,Number of Exits
Brickyard,https://www.justlaybrick.com/,United States,Chattanooga,Industry-Agnoustic,"Allan Davis, Barry Large, Cameron Doody, Matt Patterson, Ted Alling",2021,2,
Blue Star Innovation Partners,https://www.bluestarinnovationpartners.com,United States,Frisco,"Sports, Entertainment, Technology, Health, Wellness",,2017,2,
Code for America,https://www.codeforamerica.org/,United States,San Francisco,"Technology, Design, Health, Education",Jennifer Pahlka,2009,2,1
Clarkston Consulting,http://clarkstonconsulting.com/,United States,Durham,"Real Estate Expansion, AI Automation, Supply Chain Disruption","James Stefan, Neil Nelson, Tom Finegan",1991,2,
BrokerTech Ventures,https://www.brokertechventures.com/,United States,Des Moines,Industry Agnostic,Daniel Keough,2019,2,
Impact Ventures Accelerator,https://impact-ventures.co/accelerator/,United States,Dallas,Technology,,2016,2,
Skystar Ventures,http://www.skystarventures.com,Indonesia,Tangerang,Industry Agnostic,,2013,2,
VertueLab,https://vertuelab.org,United States,Portland,"Cleantech, Information Technology, AgTech",,2007,2,
Ad Astra Ventures,https://adastra.ventures/,United States,Solana Beach,"HealthTech, Life Sciences","Allison Long, Silvia Mah, Vidya Dinamani",2018,2,
NetApp Excellerator,https://startup.netapp.in/,India,Bangalore,"Data, Cloud, Data Security, Data Analytics, AI, IoT, Quantum, Computing, Healthcare, Automation",,,2,
Los Angeles Cleantech Incubator,http://laincubator.org,United States,Los Angeles,"Energy, Information Technology, Materials, Resources, Impact, Technology","Fred Walti II, Neal Anderson",2011,2,
Springboard Enterprises,http://sb.co,United States,Washington,"Technology, HealthTech, Cleantech","Amy Millman, Kay Koplovitz",2000,2,
EnergyLab,https://www.energylab.org.au/acceleration,Australia,Chippendale,Climate Tech,"Danny Kennedy, Nick Lake, Piers Grove",2017,2,
Startup UCLA Accelerator,http://startupucla.com/,United States,Los Angeles,Industry Agnostic,Robert Jadon,2012,2,
Foresight Cleantech Accelerator Centre,http://foresightcac.com/,Canada,Burnaby,Cleantech,,2013,2,
Deshpande Foundation,http://www.deshpandefoundation.org,United States,Stoneham,"Healthcare, Education, AgTech","Gururaj Deshpande, Jaishree Deshpande",1996,2,
OM2,https://www.om2.com/,Israel,Herzliya,FinTech,,2010,2,
M-Tech Innovations,https://mt-i.ca/,Canada,Calgary,Technology,Idan Shoham,,2,
Just Business,http://www.justbusiness.is,United States,San Francisco,"Consumer Goods, Sustainability, Engineering, Transportation, Media, Software, Hardware, Fashion, Ecommerce","David Batstone, Mark Wexler",2006,2,
Auctus Alternative,http://auctusinvest.com/,Australia,Melbourne,"HealthTech, Travel Technology, Infrastructure, Real Estate",Shashi Fernando,2012,2,
Bishop Ranch Intelligence Innovation Accelerator,http://briia.io/,United States,San Ramon,"AI, SaaS",,,2,
AHLI Fintech,https://ahlifintech.com/,Jordan,Amman,"FinTech, Software",,2017,2,
East West Ventures,https://www.ewventures.co/,United States,Los Angeles,"Media, Entertainment, Technology, Consumer Tech, Consumer Goods",Jaeson Ma,2012,2,
Valley Venture Mentors,http://www.valleyventurementors.org,United States,Springfield,"Auto Tech, Logistics, HealthTech, Clean, AgTech, Ecommerce",,2011,2,
SaaS Lender,https://www.impact-north-america.com/program/,United States,San Francisco,Technology,Stéphane Alisse,2013,2,
Halliburton Labs,https://www.halliburtonlabs.com/,United States,Houston,"Environment Tech, Enterprise",,2020,2,
Ocean Solutions Accelerator,http://soalliance.org/ocean-solutions-accelerator/,United States,San Francisco,"Healthcare, FinTech, EdTech, Gaming, Ecommerce, eSports, Consumer, Logistics, Transportation, Travel, HR, Hospitality, Retail, Real Estate, Cyber Security, Insurance, IoT, Sports Tech, Legal Tech","Craig Dudenhoeffer, Daniela Fernandez",,2,
DEFT,https://deftdynamics.com/,United States,Birmingham,"IoT, AI, Robotics",,2016,2,
Garini Ventures,http://www.garini.com,United States,Denver,Technology,Jonathan Garini,2018,2,
Brain Trust Accelerator Fund,http://www.braintrustvc.com,United States,Burlingame,"Pharmaceutical, Biotech, Life Sciences",,,2,
gbeta,https://www.gbetastartups.com/,United States,Beloit,Industry Agnostic,,,2,
Ginserv,http://ginserv.in/,India,Bangalore,Industry Agnostic,,2010,2,
Jaarvis Accelerator,https://jaarvisaccelerator.com/,India,Gurgaon,Technology,Jaspal Sarai,2014,2,
OnRamp Fund,http://onrampfund.com/,United States,Los Angeles,Industry Agnostic,Lawrence Ng,2015,2,
Jigsaw,https://jigsaw.google.com/vision/,United States,New York,Technology,"Eric Schmidt, Jared Cohen",2010,2,1
Research Innovation Incubation Design Laboratory,http://riidl.org/,India,Mumbai,Industry Agnostic,Karishma Talreja,2010,2,
octopus,http://theoctopus.com,United States,Scottsdale,"Technology, Entertainment, Gaming",stryker lampe,2014,2,1
SigmaLabs,http://sigmalabs.co/,Israel,Ramat Gan,"Network Management Software, Healthcare","Aviad Eyal, Eran Bielski, Ido Yablonka",2015,2,1
University of Chicago New Venture Challenge,https://research.chicagobooth.edu/nvc/,United States,Chicago,"Science, Technology",,1996,2,
Seamless Accelerator,http://seamlessaccelerator.com/,United States,Grand Rapids,"Smart Homes, Healthcare, Automotive, Retail, Software",,2015,2,
GROW Agrifoodtech Accelerator,https://www.gogrow.co/,Singapore,Singapore,"Agriculture, Food, Beverage, FoodTech",,2019,2,
StartLabz,https://www.startlabz.com/,Jordan,Amman,Industry Agnostic,,,2,
VIT Technology Business Incubator,http://www.vittbi.com,India,Vellore,Technology,,,2,
RealCoAccelerator,http://www.realco.com/,United States,San Antonio,B2B,Chris Saum,,2,
"Carib Ventures, LLC",http://www.caribventures.com,United States,San Diego,Technology,,2012,2,
Great Lakes Innovation and Development Enterprise,http://www.glideit.org,United States,Elyria,"Advanced Materials, Electronics, Energy, Bioscience, Information Technology",,2001,2,1
Lever,https://leverinc.org,United States,North Adams,"Education, SaaS",,2014,2,
Padup Ventures,https://www.padup.in/,India,Gurgaon,"Healthcare, Pharmaceutical","Pankaj Thakar, Rajat Jain, Syed Safawi",,2,
Doordasht Venture,https://doordasht.com/,United States,Irvine,Technology,,1995,2,
Digital Industries,https://digital.industries,United States,Portland,"Digital Marketing, Information Technology, RetailTech","Jon Love, Paul Weinert",2016,2,
CrossCoin Ventures,http://www.crosscoinventures.com,United States,San Francisco,Digital Currency,"Adam Marsh, Gary Kremen, Kairat Kaliyev, Ryan Orr, Steve Bennet",2014,2,
Axelys,http://www.sovar.com,Canada,Quebec,"Social Impact, Medical Device, Cleantech, Information, ICT, Science, Engineering, Life Science",,2000,2,
Cove Capital Group,http://www.covecapital.com.au/,United States,New York,"Mobile, HealthTech",Pini Althaus,,2,
Missouri Innovation Center,https://missouriinnovation.com/,United States,Columbia,"Healthcare, Agriculture, Media, Education, Financial Services, Online Marketplaces",,1984,2,
Incentive Incubator,http://www.incentive-il.com,Israel,Arbel,"Healthcare, MedTech, Medical Device, Biotech, Pharmaceutical, Bioanalytics, Molecular Diagnostics",,2002,2,
Supply Chain Labs,https://supplychainlabs.in/,India,Gurgaon,"Supply Chain, Warehousing, Logistics",,,2,
Plug and Play Fintech,https://www.plugandplaytechcenter.com/fintech/,United States,Sunnyvale,FinTech,,,2,1
FCJ Triangulo Venture Builder,https://www.fcjtriangulo.com.br/,Brazil,Uberlândia,Industry Agnostic,"Afrânio Almeida Junior, Paulo Justino",2018,2,
Walnut St. Labs,http://walnutstlabs.com/,United States,West Chester,"Technology, Ecommerce","Chris Dima, Kevin Fleming",2013,2,
Colgate Entrepreneurs Fund,http://www.colgate.edu/distinctly-colgate/entrepreneurship/colgate-entrepreneurs-fund,United States,Hamilton,Industry Agnostic,,2013,2,
Shona,https://shona.co/,Uganda,Kampala,"Agriculture, Manufacturing, Energy, Water, Healthcare, Beauty, Education",,2013,2,
SIDBI Innovation & Incubation Centre,http://www.iitk.ac.in/siic/d/incubation,India,Kanpur,Industry Agnostic,,2000,2,
The Board,https://theboardperu.com/,Peru,Miraflores,Industry Agnostic,,,2,
SETsquared,http://www.setsquared.co.uk/,United Kingdom,Bristol,HighTech,,2001,2,
Rejuveron Life Sciences,https://rejuveron.com/en/,Switzerland,Schlieren,Life Science,"Christian Angermayer, Matthias Steger",2019,2,
CEED Tech,http://www.ceedtech.eu/,Estonia,Tallinn,Technology,"Adam Jermann, Calum Cameron, Eva Havasova, Grete Gutmann, Nikola Rafaj, Rokas Tamošiūnas",2011,2,
UtrechtInc,http://utrechtinc.nl/en,The Netherlands,Utrecht,"Technology, Software,",Bart Verhulst,2009,2,
Seedcoin - Bitcoin Startup Incubator,http://www.seedco.in,United Kingdom,London,"Blockchain, Cryptocurrency","Eddy Travia, Hakim Mamoni",2013,2,
Algorand Europe Accelerator,https://www.algorand-europe-accelerator.com/,United Kingdom,London,Blockchain,,2020,2,
MTS StartUp Hub,https://startup.mts.ru/,Russia,Moscow,"FinTech, IoT, Cloud, AdTech, Martech, EdTech, Entertainment",,2018,2,
Build Up Labs,https://builduplabs.com/,Portugal,Lisbon,"AI, Software",Rui Gouveia,2014,2,
Vittoria Hub,https://vittoriahub.com/,Italy,Milan,InsurTech,,2019,2,
Seedhouse,https://seedhouse.de,Germany,Osnabrück,"Agriculture, Food, Digitization",,2018,2,
FF2032,https://www.FF2032.com,Belgium,Lembeke,"Food, Beverages, FoodTechnology, Sustainability",,2019,2,
Vispiron,https://www.vispiron.de,Germany,Munich,"Sustainability, Mobility",Amir Roughani,2002,2,
Accelerator B8,https://b8accelerator.com/,Russia,Yakutsk,Information Technology,,,2,
BaseLaunch,https://www.baselaunch.ch/,Switzerland,Allschwil,"Technology, Science",,2017,2,
Lloyd's Lab,https://www.lloyds.com/news-and-insights/lloyds-lab/insurtech/lloyds-lab-accelerator,United Kingdom,London,InsurTech,,,2,
Swiss Start Up Factory,https://www.swissstartupfactory.com,Switzerland,Zürich,Industry Agnostic,"Max Meister, Mike Baur, Oliver Walzer",2014,2,
UNIQ,https://joinuniq.com,Spain,Barcelona,"FinTech, Blockchain, InsurTech",André Caçador,2018,2,
La Javaness,http://lajavaness.com/,France,Paris,"Advertising, eSports, Logistics, Supply Chain Tech, Social Networks, Regtech, Proptech, Legaltech, InsurTech, Hospitality, Traveltech, HR, HealthTech, Fitness, Gaming, FoodTech, FinTech, SaaS, Femtech, EdTech, Ecommerce, Productivity Tools, Cyber Security, Cloud, Climate Tech, AR, VR, AgTech, AI, Data",Romain Grosjean,2015,2,
TwinklHive,https://www.twinkl.co.uk/hive,United Kingdom,Sheffield,"EdTech, Technology",Jonathan Seaton,2018,2,
BIG BOOSTER,http://www.bigbooster.org,France,Lyon,Industry Agnostic,,2015,2,
Beam,https://beamberlin.com/,Germany,Berlin,Logistics,,2018,2,
HighTechXL,http://www.hightechxl.com,The Netherlands,Eindhoven,DeepTech,"Guus Frericks, Patrick Gabriels",2016,2,
Schweizer Kapital Global Impact Fund AG,https://schweizer-kapital.ch/en/global-impact-fund/,Switzerland,Zürich,"Real Estate, Construction, Ecommerce, Logistics, Automobiles, Electromobility, MedTech, Food, Cleantech",Umut Ertan,2018,2,1
BnL Start Partners,http://bnlstart.com/,Hungary,Miskolc,"FinTech, EdTech, HealthTech",,2017,2,
Next Floor,http://tacc.next-floor.at/,Austria,Salzburg,"Tourism, Medical Tourism, Sustainability, Elder Care, Mobility, FinTech, Blockchain, DeepTech",,2015,2,
adVentures Startup Studio,https://www.adventures-studio.com/,France,Paris,"Technology, DeepTech, Biotech",Antoine Duboscq,2010,2,
BlueHealth Innovation Center,https://www.bhic.care/,Belgium,Genk,HealthTech,,,2,
Impact Hub Milan,http://milan.impacthub.net,Italy,Milan,"AgTech, Tourism, Mobility, MedTech",,2010,2,
32nd Floor,https://www.32ndfloor.com/,Germany,Berlin,"Real Estate, Proptech, FinTech",,,2,
SAP.iO Foundry Berlin,https://sap.io/foundry-berlin/,Germany,Berlin,"Energy, Aerospace, Defense, Industrial Machinery, High Tech, Automotive, Banking, Insurance, Consumer, Public Services, Technology, Intelligent Enterprise, Industry 4.0, Sustainability Management",,,2,1
BlockIS,https://blockis.eu/,Belgium,Brussels,Blockchain,,,2,
Uppsala Innovation Centre,http://www.uic.se,Sweden,Uppsala,Industry Agnostic,,1999,2,1
INTERWOOS,https://www.interwoos.com/,Japan,Tokyo,Industry Agnostic,,1995,2,
Nordic XR Startups,http://nordicvrstartups.com/,Finland,Helsinki,"VR, AR",,2017,2,
CFB Croissance & Innovation,http://www.bfccroissance.fr,France,Dijon,Industry Agnostic,,2007,2,
PARSEC Accelerator,https://parsec-accelerator.eu/,Belgium,Brussels,"Food, Energy, Environment",,2019,2,
Bright Link Ventures,http://brightlinkventures.com/,United Kingdom,London,"Consumer Goods, Food, Hospitality, Retail, Finance Services, Healthcare",,,2,
Blast Off Partners S.L,http://blastoffpartners.com,Spain,Castellón,Industry Agnostic,,2015,2,
Data Market Services,https://www.datamarketservices.eu/,Spain,Pamplona,"Data, Technology",Alberto Sierra,2019,2,
B612 Participations,http://www.lafrenchtech-onelse.com/organisations/b612/,France,Lyon,"Software, Robotics, HealthTech, Cleantech, Mobility, FoodTech, FinTech, Sporttech, Retail, Industry, EdTech, Entertainment",,,2,
Edpstarter,https://www.edp.com/en/innovation/edp-starter#about-us,Portugal,Sacavém,"Clean Energy, Smart Grid, Smart Mobility, Smart Buidlings, Energy Storage, Flexibility",,,2,
Lorain County Community College Innovation Fund,http://www.innovationfundneohio.com,United States,Elyria,Technology,,2007,2,
InvestInFuture,https://investinfuture.nl,The Netherlands,Den Haag,Industry Agnostic,,2010,2,
X2 Labs - A Startup Factory,http://www.x2labs.io/,Norway,Stavanger,Industry Agnostic,"Christian Rangen, Sean Paul Shanor",2016,2,
New Frontiers,https://www.newfrontiers.ie,Ireland,Dublin,Industry Agnostic,,,2,
CATAPULT: Inclusion Africa,http://catapult.lu/,Luxembourg,Luxembourg,"FinTech, Information Technology",,2016,2,
Toronto Fashion Incubator,http://www.fashionincubator.com/,Canada,Toronto,Fashion,,1987,2,
Vebu Labs,https://www.vebulabs.com/,United States,Los Angeles,Food Supply Chain,,2011,1,
Fresh Start FoodTech Incubator,https://fresh-start.co.il/,Israel,Qiryat Shmona,"Food, Beverage, Biotech",,,1,
Weve Accelerator,https://weveacceleration.com/,United States,New York,Industry Agnostic,,2017,1,
Leavening Accelerator,https://leavening.com/,Brazil,São Paulo,"Web, SaaS, Ecommerce, FinTech, Enterprise, Hardware, Maker, AgTech, Agrotech, Mobile, IoT",,2018,1,
Black and Latino Tech Initiative,http://blackandlatinotech.com/,United States,Newark,"Information Technology, Technology",,,1,
Karnataka Startup Cell,https://startup.karnataka.gov.in/,India,Bangalore,Industry Agnostic,,,1,
Corallia - Hellenic Technology Cluster Initiative,https://corallia.org/en/home-en/,Greece,Athens,"Microelectronics, Space Technologies, Applications, Gaming Technologies",,2006,1,
Creative Accelerator,http://creativeaccelerator.hu/,Hungary,Szeged,"Biotech, MedTech, Medical It","Erno Duda, Norbert Buzas",2015,1,
The Johns Hopkins University,https://www.jhu.edu/,United States,Baltimore,"Life Sciences, Engineering Technology, HealthTech",,1876,1,
Madrona Venture Labs,https://www.madronavl.com/,United States,Seattle,Industry Agnostic,Sam Clark,2014,1,
Talino Venture Labs,http://talinolabs.com/,United States,Los Angeles,FinTech,Winston Damarillo,2016,1,
Automation Alley,http://www.automationalley.com,United States,Troy,"Industry 4.0, Advanced Manufacturing",Brooks Patterson,1999,1,
MATTER,https://matter.health,United States,Chicago,"Life Sciences, Biotech, Healthcare","Andrew Cittadine, David Schonthal",2014,1,
ExploraMed,http://www.exploramed.com/,United States,Mountain View,"Healthcare, Health Diagnostics, Medical Device",Josh Makower,1995,1,
MVST:MG,https://www.mvstmg.com,Cyprus,Lefkosia,"Web3, Blockchain","Elad Peled, Shahar Chaham",2018,1,
Canalys,http://canalys.com/,Singapore,Singapore,"Mobile, Smart Technologies","Chris Jones, Chris Jones, Sandy Fitzpatrick, Steve Brazier",1998,1,
eFactory,https://efactory.missouristate.edu/,United States,Springfield,Industry Agnostic,,2013,1,
North Shore InnoVentures,http://www.nsiv.org,United States,Beverly,"Biotech, Cleantech",Martha Farmer,2008,1,
FoundersBoost,https://www.foundersboost.com,United States,Los Angeles,Technology,"Blake Caldwell, Gene Murphy",2017,1,
NextCorps,http://www.nextcorps.org/,,,"Software, HealthTech",,,1,
Global Accelerator Network,http://gan.co,United States,Boulder,"Photonics, Biotech, SaaS, High Tech, Life Sciences","Brad Feld, David Cohen",2010,1,
Trium,https://www.trium.ng/,Nigeria,Lekki,Industry Agnostic,,2015,1,
AngelHack,http://angelhack.com/,United States,San Francisco,Industry Agnostic,"Greg Osuri, Gregory Gopman, Sabeen Ali",2011,1,
MouseBelt,https://www.mousebelt.com/,United States,San Francisco,"Blockchain, EdTech","Alexander Levin Holz, Galen Danziger, Patrick McLain",2017,1,
OneTraction,http://onetraction.com,United States,San Francisco,"Internet, Enterprise, Consumer, Fin Tech, Health, Cleantech, Hardware, Biotech, Manufacturing, Agro Tech","Andrew Preston, David Zeng, Henri S.",2013,1,
Cleantech Open,http://www.cleantechopen.org,United States,Palo Alto,"Environment Tech, Energy Tech","Marc Gottschalk, Michael Santullo",2006,1,
SURE International Technology,https://www.sure.com.sa/,Saudi Arabia,Riyadh,Technology,,2004,1,
Startup Leadership Program,http://www.startupleadership.com,United States,Boston,"Lifesciences, Technology, Cleantech, MedTech, FinTech, Consumer, HealthTech, SaaS, EdTech, Food , Beverage","Anupendra Sharma, Puran Dang",2006,1,
Amity Innovation Incubator,http://www.amity.edu/aii/,India,Noida,Industry Agnostic,Aseem Chauhan,2008,1,
Fermata,https://www.hellofermata.com/,Japan,Kami-Meguro,Technology,"Amina Sugimoto, Hiroko Nakamura",2019,1,
Prepare 4 VC,http://prepare4vc.com,United States,Boston,Industry Agnostic,Jason Kraus,2016,1,
The Bulb Africa,https://thebulb.africa/,Nigeria,Jibowu,Technology,"Tosin Osunkoya, Wande Adams",2020,1,
TinySeed,https://tinyseed.com/,United States,Minneapolis,SaaS,Rob Walling,,1,
Xelpmoc,http://xelpmoc.co/,India,Bangalore,"Finance, Agriculture, Transportation, Education, Travel, IoT, Health",,,1,
Openner,https://www.openner.vc/#Vive_Labs,United States,Manassas,"AI, Big Data, Social Experiences",,,1,
DRIVE TLV,http://www.drivetlv.com,Israel,Tel Aviv,Mobility,"Boaz Mamo, Omer Shachar, Tal Cohen",2017,1,
Origgin Ventures,https://origgin.com/,Singapore,Singapore,"AgriFood, Advanced Engineering, Healthcare, Sustainability",,2016,1,
Bucks Built,http://www.bucksbuilt.com/,United States,Doylestown,Industry Agnostic,,2020,1,
PeopleTech Partners,http://www.peopletechpartners.com,United States,San Francisco,Peopletech,Cara Brennan Allamano,2016,1,
EDventure Holdings,http://edventure.com/,United States,New York,"Healthcare, Aerospace",,,1,1
Angel To Venture Accelerator,https://www.angeltoventure.com/,Taiwan,Taipei,"Software, SaaS, Deep Learning, DeepTech AI",,2020,1,
StartEd Accelerator,http://www.started.com/,United States,New York,EdTech,Ashantha Kaluarachchi,2016,1,
WaterEquity,http://waterequity.org/,United States,Kansas City,WaterTech,Gary White,2017,1,
L.A. Libations,http://lalibations.com/,United States,El Segundo,"Food, Beverage",,2009,1,
RevUp Capital,https://www.revupfund.com/,United States,Providence,Industry Agnostic,"Allan Tear, Bill Cesare, Melissa Withers",2015,1,
Tandon Group,http://www.tandongroup.com,United States,San Jose,"Healthcare, Technology, FinTech, Information Technology",,1975,1,
in5,http://www.in5.ae,United Arab Emirates,Dubai,"Information Communication Technology, Digital Media",,2013,1,
Celo Camp,https://www.celocamp.com/,Israel,Tel Aviv,Blockchain,"Alon Shavit, Tomer Weiss",,1,
R-LABS Canada Inc.,https://www.rlabs.ca/,Canada,Toronto,"Real Estate, Housing Industry",George Carras,2017,1,
Portal Innovations,https://www.portalinnovations.com/,United States,Chicago,"Biotech, AI",,2020,1,
Powered Health,https://poweredhealth.com/,United States,Nashville,Healthcare,Jim Sohr,2013,1,
Excelerate Labs,https://exceleratelabs.com/,United States,Chicago,"Software, Information Technology",,2010,1,
DreamPlus,http://dreamplus.asia/en,South Korea,Seoul,"FinTech, Healthcare, Wellness",,2014,1,
Startup Calgary,http://startupcalgary.ca/,Canada,Calgary,Industry Agnostic,,2010,1,
LAUNCH,http://uclaunch.com,United States,Berkeley,Industry Agnostic,,1999,1,1
StartupX,https://www.thestartupx.com/,Singapore,Singapore,Technology,"Durwin Ho, Joyce Tay, Raymond Doraisamy",2018,1,
Pushstart,http://www.pushstart.com.au,Australia,Sydney,Technology,"Kim Heras, Roger Kermode",2011,1,
AccelerateBaltimore,http://www.acceleratebaltimore.com,United States,Baltimore,Industry Agnostic,,,1,
Schmidt,http://schmidt.kr/#company,South Korea,Seoul,"Mobility, Bio, DeepTech",,2014,1,
RedHouse Associates,http://www.redhouseassociates.com,United States,Houston,Technology,,2011,1,
Bangkok Bank InnoHub,https://www.bangkokbankinnohub.com/,Thailand,Bangkok,"FinTech, IoT",,,1,
Eunike Ventures,https://www.eunikeventures.com/,United States,Houston,"AI, Software, Technology","Amy Henry, Thomas Henry",2017,1,
W Ventures,https://wventuresllc.com/,United States,Baltimore,Industry Agnostic,,,1,
Nailab Accelerator,http://nailab.co.ke,Kenya,Nairobi,Industry Agnostic,,2010,1,
Prospect Mining Studio,https://prospectminingstudio.com/,United States,New York,"Healthcare, Mining Technology",,,1,
INNOVEST Middle East,https://innovest.org/,United Arab Emirates,Dubai,Industry Agnostic,,2011,1,
Savant Technology Incubator,https://www.savant.co.za/,South Africa,Cape Town,"Hardware, DeepTech",,,1,
Nashville Entrepreneur Center,http://www.ec.co,United States,Nashville,"Music, Entertainment, Healthcare",,2010,1,
SGcapital,https://www.sg-capital.me/,Japan,Tokyo,"Fashion, Food, Beverage, Digital Media Technology",,2018,1,
FFVentures,https://www.ffventures.com/,United States,Paramus,"EdTech, Education Services, AdTech","David Flack, Tom Ferrara",2007,1,
Abu Issa Investment,https://www.abuissa.com/,Qatar,Doha,"Retail, ICT, Security, Tourism",,,1,
Block by Block Capital,https://www.bxbcapital.com/,Singapore,Singapore,Blockchain,"Alex Friedberg, Hwan Kim, Jiho Kang, JJ Petersen",2017,1,
Bounce Innovation Hub,https://bouncehub.org,United States,Akron,"Software, Technology",,2018,1,
Audacity Fund Reno,https://www.audacityfundreno.com/,United States,Reno,Technology,,,1,
ZL LLC,https://zltech.io,United States,Nashville,"Information Technology, Healthcare, Software Development",Nir Z. Pengas,2018,1,
1st50K,https://www.codefiworks.com/1st50k/,United States,Cape Girardeau,Industry Agnostic,,2015,1,
HCF Catalyst,http://hcfcatalyst.slingshotters.com/,Australia,Sydney,"Health, MedTech",,,1,
Boomtown Health Tech Accelerator,http://www.boomtownaccelerator.com/accelerators/health/,United States,Boulder,"HealthTech, Sportstech, Hardware",,,1,
757 Accelerate,https://757accelerate.org/,United States,Norfolk,Industry Agnostic,,2018,1,
Delta Clime VT,https://deltaclimevt.com/,United States,Montpelier,"Energy, Climate, Clean Energy, Smart Building, Electric Vehicle",,2017,1,
Velantic Investments,http://www.velantic.com.br,Brazil,São Paulo,Industry Agnostic,,2021,1,
INcubes,http://INcubes.ca,Canada,Toronto,Industry Agnostic,Ben Zlotnick,2010,1,
365^x Accelerator,http://www.365x.io/,Israel,Kfar Saba,"Software, IoT",,2018,1,
Rebalance,http://therebalance.com/,India,Haryana,"Women, Industry Agnostic",Vikas Kumar,2019,1,
New Paradigm Investment,http://www.npinvestment.co.kr/,South Korea,Seoul,"Industry 4.0, Healthcare",,,1,
Comcast NBCUniversal SportsTech,https://www.comcastsportstech.com/,United States,Atlanta,"Sportstech, Technology",,,1,
Launch.vc,https://www.launch.vc/,Canada,Vancouver,"Sport, Entertainment, VR, AR",Ray Walia,2018,1,
BYLC Ventures,https://bylc.org/ventures/,Bangladesh,Dhaka,Industry Agnostic,,2019,1,
Stanford Technology Ventures Program,http://stvp.stanford.edu,United States,Stanford,"Research, Technology",,,1,
America's Seed Fund,https://seedfund.nsf.gov/,United States,Alexandria,"Advanced Manufacturing, Material, AgTech, AI, AR, VR, Biotech, Chemtech, Cloud, Cyber Security, HealthTech, Energy, IoT, Medical Device, Mobility, Nano Technology, Pharmatech, Robotic, Semiconductor, Space, Wireless",,,1,
RedTape Ventures,http://redtapeventures.com/,United States,San Francisco,Technology,Michael Tanzer,2017,1,
MIT Sandbox Innovation Fund Program,http://sandbox.mit.edu/,United States,Cambridge,"Food, AgTech",,,1,
Launch Accelerator,https://bongohive.co.zm/home/launch/,Zambia,Lusaka,"Technology, FinTech",,,1,
FinHub Global,https://www.finhub.vc,United States,San Francisco,FinTech,Andrey Morozov,2015,1,
Bing Fund,http://bingfund.com,United States,Seattle,"Healthcare, Autonomous Systems, Cloud, Devops, Cyber Security, Web3, Metaverse, Gaming, SaaS, Frontier Bets",,,1,1
Austin Technology Incubator,http://ati.utexas.edu/,United States,Austin,"DeepTech, Energy, Cleantech, Food, AgTech, Mobility, Water",George Kozmetsky,1989,1,
GaneshaLab,https://ganeshalab.com/,Chile,Santiago,"Science, Biotech",,2016,1,
OBr.global,http://www.obr.global,Brazil,Rio De Janeiro,Industry Agnostic,"Alex Jacobs, Claudia da Matta, Frederico Roberto Mens Filho, Robert Janssen",2001,1,
Parcel B,https://www.parcelb.vc/,United States,San Francisco,Technology,,,1,
Connecticut Center for Advanced Technology,http://www.ccat.us,United States,East Hartford,"Industry 4.0, Tehcnology, Energy",,,1,
Viveka,http://www.viveka.com.tr,Turkey,Ankara,"HealthTech, Greentech, Mobility, Energy, Cyber Security, Blockchain, Creative Industries",,2009,1,
Baker & Eastlack Ventures,http://www.bakerandeastlackventures.com,United States,San Diego,"Medical Devices, Health Diagnostics","Kenneth Baker, Robert Eastlack",,1,
Preccelerator Program,http://www.preccelerator.com/,United States,Santa Monica,"Consumer, FinTech",,2012,1,
SHOzemi Innovation Ventures,http://sziv.org,United States,Redwood City,EdTech,Yoshi Okamoto,,1,
Braitman & Company,http://braitman.co,United States,San Francisco,"Media, Blockchain, Consumer, Martech, HealthTech, Gaming, EdTech",,2003,1,
Villgro USA,https://www.villgro-us.org/,India,Chennai,Social Impact,Arun Venkatesan,,1,
Purple Ventures Management Consultant LLP,http://www.purpleventures.co.in,India,Mumbai,"Financial Services, Chemicals, Technology, Education, Automobile, Retail, Consumer Goods, Agriculture, Rural Markets, Logistics, Healthcare, Hospitality, Media, Events, Manufacturing, Jewellery, Power, Energy",Ateet Sanghavi,2011,1,
Jett Ventures,https://jettventures.com/,United States,Venice,Industry Agnostic,,2018,1,
IIMK Live,https://www.iimklive.org/,India,Kozhikode,Industry Agnostic,,,1,
Eretz.bio,https://eretz.bio,Brazil,Brasil,"Biotech, HealthTech, Medical Devices",,2017,1,
Plug and Play Food & Beverage,https://www.plugandplaytechcenter.com/food/,United States,Sunnyvale,"Food, Beverage",,,1,
Climate Ventures,https://climateventures.org/,Canada,Toronto,Cleantech,,2017,1,
Technology Seed Incubation,https://tsi-japan.com/,Japan,Kyoto,"Electronics, Biotech, Life Science, Information Technology, Healthcare, Agriculture",,2018,1,
Dream Project Incubators,http://dpigroup.org/,Singapore,Singapore,Renewable Energy,,,1,
TuksNovation,https://tuksnovation.co.za/,South Africa,Gauteng,"Health, Biotech",,2018,1,
BRIIA,https://briia.io,United States,San Ramon,Industry Agnostic,"Jon Brooks, Les Schmidt",2017,1,
YEAST.,http://www.yeastlab.co,China,Shanghai,"Food, Technology","Federico Duarte, Matilda Ho",2018,1,
Chicago Venture Summit,http://www.chicagoventuresummit.com,United States,Chicago,Technology,,2014,1,
Penn Wharton VIP,https://entrepreneurship.wharton.upenn.edu/venture-initiation-program/,United States,Philadelphia,Industry Agnostic,,,1,1
